title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Business Development (Sales),Designs By Saransh,Work From Home,Immediately,3,5000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-11-25,MSc
Human Resources (HR),UFaber Edutech,Mumbai,Immediately,3,12000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",16-09-25,MBA
Accounts,Reverse Factor,Kolkata,Immediately,6,10000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",28-09-25,MCom
Blog Writing (SEO-Optimized),WEBUZZ Digital,Work From Home,Immediately,6,8000,Yes,Onsite,Rural,Content & Communication,"SEO, Keyword Research, Google Analytics, Content Optimization, Content Writing, Editing",28-09-25,MBA
Digital Marketing,Design Sundays,Gurgaon,Immediately,6,12000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",29-10-25,BBA
Talent Acquisition,HealthFlex,Bangalore,Immediately,6,15000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",25-11-25,MA
ERP Functional Operations,Force-Intellect Private Limited,Bhilai,Immediately,6,12000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-10-25,MCom
Design & Fabrication,Arijit Majumdar,Work From Home,Immediately,6,7000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",04-10-25,BCom
Interior Design,Ruh Studios LLP,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-09-25,MBA
Content Writing,Quadrang Systems,Pune,Immediately,6,3000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",11-11-25,MSc
Social Media Marketing,Avval,Work From Home,Immediately,6,3000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",04-12-25,MA
Social Media Associate,Divyangna S,Work From Home,Immediately,6,4700,No,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",23-09-25,BBA
Business Development (Sales),Rawal Pindi EMB,Delhi,Immediately,6,5000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-11-25,MCA
Business Development (Sales),XergY Business Excellence Private Limited,Bangalore,Immediately,6,15000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",12-11-25,MCA
Social Media Marketing,Qyuki Digital Media Private Limited,Mumbai,Immediately,6,10000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",04-11-25,MA
Market Sales,SwarnDhra Organics LLP,Gurgaon,Immediately,6,3000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",22-09-25,MCom
Operation,Witness The Fitness Private Limited,Noida,Immediately,6,7000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",07-12-25,BCom
Video Making/Editing,Crystal Eye Studio,Patna,Immediately,6,6000,No,Hybrid,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",11-09-25,MA
Digital Marketing,LevelFive Software Solutions,Chennai,Immediately,6,8000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",25-11-25,MBA
Content Writing (Gaming),FirstSportz,Work From Home,Immediately,6,6000,No,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",18-09-25,MSc
Social Media Management,Peculiere,Work From Home,Immediately,6,5000,No,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",18-11-25,MBA
Video Presentation,Top Talent Bridge,Work From Home,Immediately,6,5000,No,Hybrid,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects, PR Strategy, Media Relations",24-10-25,BBA
Marketing,YoursthatSenior,Work From Home,Immediately,6,1000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-11-25,BBA
Reel Creation,Top Talent Bridge,Work From Home,Immediately,6,5000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",10-10-25,BCom
Front End Development,Arxena,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",24-10-25,BSc
Video Editing,Box Eye Productions,Work From Home,Immediately,6,5000,No,Hybrid,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",01-10-25,MBA
Talent Acquisition,PMS Consulting,Delhi,Immediately,6,6000,No,Onsite,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",13-11-25,BBA
Human Resources (HR),Perfect Route Private Limited,Delhi,Immediately,6,10000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",11-11-25,BBA
Business Development (Sales),Invicta Media Pvt Ltd,Delhi,Immediately,6,10000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",19-11-25,MTech
Key Account Manager,Kantha Raj,Work From Home,Immediately,6,1000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",23-09-25,MCom
Interior Design/Architect,Facelift,Ludhiana,Immediately,6,13000,Yes,Hybrid,Urban,Architecture & Design,"Communication, MS Excel, Research",11-11-25,BCom
Real Time Sales,Kalyan Meesal,Rayagada,Immediately,6,3000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",08-10-25,MBA
Finance Ops,KlentySoft Incorporation,Chennai,Immediately,6,15000,Yes,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",18-10-25,MBA
Human Resources (HR),Hindustan Wellness Private Limited,Bhopal,Immediately,6,5000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",17-09-25,MBA
Digital Marketing,Spearmint Technology,Noida,Immediately,6,5000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-10-25,MA
Personal Assistant,Sandesh Kadam,Work From Home,Immediately,6,5000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",14-10-25,MCom
Social Media Marketing,Signet & Safa,Work From Home,Immediately,6,5000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",13-11-25,BBA
Recruitment,The Golden Rise,Vijayawada,Immediately,6,25000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",19-10-25,BA
Digital Marketing,Spearmint Solutions Pvt Ltd,Noida,Immediately,6,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",30-10-25,MA
Operations Analytics,Accredian,Gurgaon,Immediately,6,15000,No,Remote,Urban,Operations & Support,"Python, Data Analysis, SQL, Statistics, Data Visualization",19-10-25,BCA
Social Media Management,Karmanya Gurutvam,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",02-12-25,MA
Social Media Marketing,Zoof Product Private Limited,Work From Home,Immediately,6,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",11-10-25,MA
HR Consultant,Perfect ELearning,Faridabad,Immediately,3,2000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing, Consulting, Problem Solving",07-11-25,BBA
Digital Marketing,Udyami World,Work From Home,Immediately,3,6000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",19-10-25,BBA
Interior Design,Des-Kraft,Delhi,Immediately,3,5000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",25-11-25,MBA
Financial Analyst,PeakPals,Noida,Immediately,3,5000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",26-10-25,BBA
Field Sales,Nidec Control Techniques India Pvt Ltd,Work From Home,Immediately,3,15000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",28-11-25,MBA
Operations,Learnify Technologies Private Limited,Work From Home,Immediately,3,13500,Yes,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",02-10-25,MCom
Business Development,Pro India,Work From Home,Immediately,3,1000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",02-11-25,MCA
Business Development (Sales),Eminenture Private Limited,Delhi,Immediately,3,25000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",29-11-25,MSc
Laravel Development,NextGen Techno Ventures Private Limited,Mumbai,Immediately,3,5000,No,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",28-09-25,BCA
Content Development (English),PromoDome Digital LLP,Mumbai,Immediately,3,7000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",29-11-25,BCA
HR Consultant,PMS Consulting,Delhi,Immediately,3,6000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing, Consulting, Problem Solving",03-10-25,MCom
HR Consultant,PMS Consulting,Delhi,Immediately,3,6000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing, Consulting, Problem Solving",28-11-25,BCom
Business Development,Appfoster Innovations Private Limited,Noida,Immediately,3,5000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",15-09-25,BCA
Accounting & Bookkeeping,Conquer Travel (Pack&Go Vacations Private Limited),Noida,Immediately,3,5000,No,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",13-09-25,MCom
Interior Design,Decode Interior,Noida,Immediately,3,10000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",22-10-25,MCom
Full Stack Development,Codeify IT Services Pvt. Ltd.,Palwal,Immediately,3,6000,No,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",22-10-25,MTech
QA Testing,Picostone,Mumbai,Immediately,3,7000,No,Remote,Rural,Research,"Communication, MS Excel, Research",21-09-25,BBA
Influencer Management and Social Media Marketing,Sterlyn Silver Jewelry,Work From Home,Immediately,3,5000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",16-11-25,MBA
Design & Fabrication,Avinya Infinity Solutions Private Limited,Work From Home,Immediately,3,7000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",27-11-25,BBA
Graphic Design,Code Tikki,Work From Home,Immediately,3,1500,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",13-09-25,MBA
Content Marketing,Giftcarnation,Delhi,Immediately,3,3000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Content Writing, Editing",22-10-25,MA
Psychology,Happitude Studio,Delhi,Immediately,3,4000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",14-11-25,BCom
Digital Marketing,The Power Pivot,Work From Home,Immediately,3,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",07-10-25,MBA
Game Development (Unity/ Unreal),Red Apple Learning,Kolkata,Immediately,3,15000,No,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",30-11-25,BSc
Human Resources (HR),Dotkonnekt,Bangalore,Immediately,3,3000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",18-09-25,MCom
Mobile App Development,Cyno Pharmaceuticals,Delhi,Immediately,3,2000,No,Remote,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",10-09-25,BSc
Script Writing/Storytelling,Nintee,Work From Home,Immediately,3,20000,No,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",02-10-25,PhD
Marketing,POSTFAYM TECHNOLOGIES PRIVATE LIMITED,Gurgaon,Immediately,3,2000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",03-11-25,MBA
"Video Editing, Motion Graphics And VFX",Doctor Who,Mumbai,Immediately,3,10000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Video Editing, Videography",03-12-25,MCom
Search Engine Optimization (SEO),Foozie Fitness Private Limited,Work From Home,Immediately,3,5000,Yes,Onsite,Rural,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",17-09-25,MBA
Sales,Beep Innovations Private Limited (BeepKart),Bangalore,Immediately,3,10000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-11-25,BBA
Social Media,Jaxpax Business Solution (OPC) Private Limited,Work From Home,Immediately,3,2500,Yes,Remote,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",24-10-25,MA
Telecalling,Sumeet Chechani,Work From Home,Immediately,3,7000,No,Onsite,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",27-11-25,BBA
Video Making/Editing,TZS Digital,Gurgaon,Immediately,3,20000,Yes,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",10-11-25,BA
Voice-Over Video Editing,Firoz Ansari,Work From Home,Immediately,3,2500,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",10-09-25,BA
Marketing,CAP Educational Services,Hyderabad,Immediately,3,8000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-10-25,MA
Search Engine Optimization (SEO),Sterlyn Silver Jewelry,Work From Home,Immediately,3,3000,No,Onsite,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",30-11-25,BBA
Graphic Design,H3A Business Solutions Private Limited,Noida,Immediately,3,6000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-09-25,BCom
Digital Marketing,Rohit Marchande,Work From Home,Immediately,3,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",22-10-25,MBA
Market Research,Eastcommerce Marketplace LLC,Work From Home,Immediately,3,5000,Yes,Onsite,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",28-11-25,MCom
Human Resources/Operations,AdCortex,Work From Home,Immediately,3,5000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",16-11-25,BCom
Business Development,Gypsy Moth LLP,Delhi,Immediately,3,8000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",17-11-25,BSc
Fashion Design,Urban Scissors,Work From Home,Immediately,3,10000,No,Onsite,Urban,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",20-10-25,BBA
"Sales, Marketing & PR",Wellness Garden,Work From Home,Immediately,3,5000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",08-11-25,BA
Travel Consultant,Drisshya,Work From Home,Immediately,3,5000,No,Onsite,Rural,Data Analyst,"Consulting, Problem Solving, Communication, Analysis",20-09-25,MCom
Business Development (Sales),ELINT Market Research,Work From Home,Immediately,3,5000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",20-09-25,BTech
Acting,Kshitiksha Foundation,Work From Home,Immediately,3,Unpaid,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",20-09-25,BCom
Social Media Marketing,Saujil Global,Noida,Immediately,3,9000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",23-11-25,MA
Social Media Marketing,Banjara Lensers,Delhi,Immediately,3,8000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",15-09-25,MBA
Business Development (Lead Generation),Crion Technologies,Work From Home,Immediately,3,15000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",04-10-25,BCA
Business Development (Sales),A S And Associates,Pune,Immediately,3,10000,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",17-11-25,BSc
Digital Marketing,Pratik Chauhan,Work From Home,Immediately,3,6000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",05-12-25,BA
Personal Branding,Pravaah,Delhi,Immediately,3,2000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",27-09-25,BBA
Marketing,The Indi-Mums Limited,Work From Home,Immediately,3,5000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",24-09-25,MBA
Growth And Social Media Marketing,Marketing That Works Online,Work From Home,Immediately,3,1000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",12-09-25,BA
Human Resources (HR),Pawzz,Work From Home,Immediately,3,15000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",28-10-25,MBA
YouTube Editing,Rapid Hiring Solutions Inc,Work From Home,Immediately,3,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",03-11-25,BBA
Telecalling,Level Up For Women,Work From Home,Immediately,3,5000,No,Hybrid,Rural,Outreach & Client Relations,"Communication, MS Excel, Research",24-09-25,MCom
Administration,Enord Private Limited,Delhi,Immediately,3,5000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",25-09-25,BCom
Shopify Web Development,Eastcommerce Marketplace LLC,Work From Home,Immediately,3,4000,Yes,Onsite,Rural,Web Development,"HTML, CSS, JavaScript, React, E-commerce Management, Product Listing",07-10-25,MCA
Node.js Development,Code Tikki,Work From Home,Immediately,3,1000,No,Onsite,Rural,Data Science,"Node.js, APIs, Databases, Server-side Development",13-11-25,MTech
Sales,Kohli And Sons,Work From Home,Immediately,3,25000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",15-10-25,MCom
Digital Marketing,Realtor Guide,Navi Mumbai,Immediately,3,8000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",14-09-25,MBA
Digital Marketing,Narang Sarees,Work From Home,Immediately,3,2500,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-09-25,BA
Web Development,The Affordable Organic Store,Hyderabad,Immediately,3,3000,No,Onsite,Urban,Web Development,"HTML, CSS, JavaScript, React",27-10-25,MSc
Content Writing,Fushion World,Work From Home,Immediately,3,3000,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",09-11-25,MSc
Business Development (Sales),Black Fox Millennium (OPC) Private Limited,Work From Home,Immediately,3,7000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",26-09-25,MSc
Architecture,Hridya Sharma Architects,Agra,Immediately,3,5000,Yes,Onsite,Urban,Architecture & Design,"Communication, MS Excel, Research",24-10-25,MBA
Social Media Marketing,Sachin Malik,Gurgaon,Immediately,3,10000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",10-10-25,MBA
Business Development,Moonstone Multimedia,Mumbai,Immediately,3,20000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",28-11-25,BTech
E-Commerce Catalog Management,Quercus Rubra Pvt Ltd,Mumbai,Immediately,3,15000,No,Onsite,Rural,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",22-09-25,MBA
Content Writing,Tech Solver Official,Work From Home,Immediately,3,3000,Yes,Remote,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",21-10-25,MSc
Campus Ambassador,GreyB,Work From Home,Immediately,3,Performance Based,No,Onsite,Rural,Marketing,"Marketing, Communication, Networking, Leadership",10-11-25,BCom
Brand Management,Sakshi Bhardwaj,Faridabad,Immediately,3,5000,No,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",08-11-25,BBA
Campus Ambassador,Zingbus Technology Private Limited,Work From Home,Immediately,3,Performance Based,Yes,Onsite,Rural,Marketing,"Marketing, Communication, Networking, Leadership",23-10-25,BBA
Photography & Videography,RAS Media & Entertainment Private Limited,Delhi,Immediately,3,5000,Yes,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects, Photography, Lightroom",28-09-25,BA
Business Analytics,Jivichem Synthesis Private Limited,Work From Home,Immediately,3,12000,Yes,Remote,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",27-10-25,MCA
Web Development,Jivichem Synthesis Private Limited,Work From Home,Immediately,3,8000,No,Onsite,Urban,Web Development,"HTML, CSS, JavaScript, React",21-10-25,MCA
Fashion Design,Apparate Fashion,Bangalore,Immediately,3,5000,Yes,Remote,Urban,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",02-11-25,MBA
Full Stack Development,Code Tikki,Work From Home,Immediately,3,1000,Yes,Hybrid,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",19-10-25,BCA
Reels & Content Creation,Meetooshop,Work From Home,Immediately,3,2000,No,Hybrid,Rural,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",15-09-25,MTech
Subject Matter Expert (Inorganic Chemistry),Himanshi Sharma,Work From Home,Immediately,3,5000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",12-09-25,MBA
Digital Marketing,Honeysha Technologies Private Limited,Raipur,Immediately,3,4000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",27-11-25,MA
Social Media Marketing,Growth Best,Work From Home,Immediately,3,2000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",07-10-25,MBA
Subject Matter Expert (Statistics),Himanshi Sharma,Work From Home,Immediately,3,5000,No,Remote,Urban,Research & Strategy,"Statistics, Data Analysis, R, Python",26-11-25,BSc
Digital Marketing,Gutenberg,Work From Home,Immediately,3,5000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",28-09-25,BBA
Unity Game Development,AJ GLOBAL NETWORKS,Kota,Immediately,3,5000,No,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",01-12-25,MCA
Social Media Management,Leaf Studios,Work From Home,Immediately,3,4000,No,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",27-11-25,MBA
Founders Office,CredResolve (Credhas Technology Private Limited),Bangalore,Immediately,3,5000,No,Remote,Urban,Research,"Communication, MS Excel, Research",31-10-25,MBA
Market Research,Govshop India Private Limited,Delhi,Immediately,3,10000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",11-10-25,BBA
Research,Curadio Media Private Limited,Work From Home,Immediately,3,5000,Yes,Remote,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",24-10-25,BCom
Full Stack Development,Universal Adventures,Work From Home,Immediately,3,3000,No,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",16-10-25,BSc
Human Resources (HR),Wissen Consultants,Gurgaon,Immediately,3,10000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",20-09-25,BCom
Amazon Account Management,"Zaveri Global (UK) Limited (London, United Kingdom)",Work From Home,Immediately,3,4000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",23-09-25,BBA
Architecture,AIVI,Work From Home,Immediately,3,2000,No,Remote,Rural,Architecture & Design,"Communication, MS Excel, Research",16-10-25,BCom
Graphic Design And Game Design,Satyam Bhatt,Work From Home,Immediately,3,3000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",22-10-25,BCom
Business Development (Sales),Business 10x,Jaipur,Immediately,3,10000,No,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",20-09-25,MCA
Graphic Design,Ayurveda House Private Limited,Work From Home,Immediately,3,5000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-10-25,MBA
Digital Marketing,Mamabua Foods,Work From Home,Immediately,3,1500,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",17-10-25,BBA
Inside Sales,Tisteps Private Limited,Chennai,Immediately,3,15000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",09-11-25,BCom
Digital Marketing,Mahavir Electronics & Furniture,Pune,Immediately,3,8000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",25-09-25,MBA
Embedded Systems,M-Kris Electric,Delhi,Immediately,3,15000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",17-09-25,BBA
Business Development (Sales),The Urban Box,Work From Home,Immediately,3,1000,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",04-10-25,BSc
HR - BD,Margdarshak Kendra,Delhi,Immediately,3,9000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, Recruitment, Talent Acquisition",28-09-25,BCom
Social Media Marketing,Ink In Caps,Mumbai,Immediately,3,8000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",08-11-25,MBA
Social Media Marketing,MART88,Work From Home,Immediately,3,3000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",22-11-25,MBA
Business Development (Sales),Apron Patisserie,Mumbai,Immediately,3,8000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-12-25,BCA
One-to-One Teaching (JEE Subjects),Vidhya Vikashni School,Work From Home,Immediately,3,4000,Yes,Remote,Urban,Marketing,"Teaching, Lesson Planning, Communication, Mentoring",05-10-25,BBA
Photography,Events By Sahiba,Delhi,Immediately,3,3000,No,Remote,Rural,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",02-11-25,BSc
Sales,Edgrasp,Work From Home,Immediately,3,1000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",13-11-25,BCom
Market Research,Comet Bengaluru,Bangalore,Immediately,3,10000,Yes,Onsite,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",13-11-25,BBA
Digital Marketing,FX MADE EASY,Bhopal,Immediately,3,6000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",18-09-25,MA
Marketing And Sales,Globizon,Delhi,Immediately,3,2000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",15-10-25,MA
Business Development,The Tech Galore,Work From Home,Immediately,3,5000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",05-12-25,MTech
Sales Consultant,Metagro Private Limited,Work From Home,Immediately,3,10000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, Consulting, Problem Solving",05-11-25,MBA
