title,company_name,location,start_date,duration,stipend,ppo,work_mode,region,domain,skills,deadline,degree
Business Development (Sales),My Propdiary,Work From Home,Immediately,6,5000,No,Hybrid,Urban,Data Scientist,"Communication, Python, SQL, Java, Data Analysis",05-11-25,BTech
Social Media Marketing,Avaari,Work From Home,Immediately,6,18000,No,Remote,Rural,HR,"HTML/CSS, Project Management, C++, Digital Marketing, Data Analysis",27-11-25,MBA
Business Development (Sales),Avaari,Work From Home,Immediately,6,15000,No,Hybrid,Rural,Design,"Python, HTML/CSS, Digital Marketing",03-10-25,BTech
Environmental Sciences,Earth5R,Mumbai,Immediately,6,8000,No,Onsite,Urban,Software Development,"C++, Machine Learning, HTML/CSS",27-11-25,BSc
Telecalling,Rode Group Of Buisness,Pune,Immediately,6,5000,No,Onsite,Rural,Research,"Machine Learning, Data Analysis, HTML/CSS, Python",10-09-25,BCA
Webflow Development,Everything Flow,Bangalore,Immediately,6,8000,Yes,Onsite,Rural,Marketing,"Python, C++, SQL",20-10-25,MTech
Human Resources (HR),SpreadEgg,Noida,Immediately,6,10000,No,Hybrid,Urban,Software Development,"Machine Learning, Python, HTML/CSS",11-11-25,BSc
iOS App Development,Omoi,Work From Home,Immediately,6,15000,No,Hybrid,Rural,Data Scientist,"HTML/CSS, Project Management, Machine Learning, Java, Data Analysis",30-11-25,BTech
Artificial Intelligence (AI),Avaari,Work From Home,Immediately,6,15000,Yes,Hybrid,Urban,Research,"HTML/CSS, Machine Learning, Communication, Java",04-10-25,BSc
Civil Engineering,Avaari,Work From Home,Immediately,6,15000,Yes,Hybrid,Rural,Data Analyst,"Digital Marketing, Project Management, SQL, HTML/CSS",02-11-25,BSc
Web Development,Quikprof,Delhi,Immediately,6,5000,Yes,Remote,Urban,Software Development,"Machine Learning, Python, Java, Excel",23-09-25,BSc
Esports Operations,Ampverse India,Noida,Immediately,6,5000,No,Onsite,Urban,Marketing,"Digital Marketing, HTML/CSS, Machine Learning, SQL, C++",03-10-25,MTech
Client Acquisition,Solutions Unlimited,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,HR,"Data Analysis, Machine Learning, Communication, Excel, Project Management",24-10-25,MCA
Electrical Engineering,Avaari,Work From Home,Immediately,6,12000,No,Remote,Urban,Research,"Communication, Data Analysis, Excel, Project Management, Python",14-09-25,PhD
Marketing,Avataar,Bangalore,Immediately,6,7000,Yes,Remote,Urban,Data Analyst,"Communication, HTML/CSS, Project Management, Digital Marketing, Excel",09-11-25,PhD
Mobile App Development,Avaari,Work From Home,Immediately,6,15000,Yes,Onsite,Rural,Design,"Communication, Data Analysis, Excel, Machine Learning",21-09-25,BSc
Marketing,Avaari,Work From Home,Immediately,6,18000,Yes,Onsite,Urban,Data Analyst,"Communication, Java, Project Management",29-09-25,BTech
Tele-Marketing,Fitness Box,Coimbatore,Immediately,6,6000,No,Onsite,Rural,Data Analyst,"Data Analysis, Python, Machine Learning, Excel",26-09-25,BSc
Human Resources (HR),Avaari,Work From Home,Immediately,6,15000,Yes,Hybrid,Rural,Finance,"Project Management, SQL, Java, Communication",25-09-25,BCA
Flutter App Development (iOS App),UrbanRider,Work From Home,Immediately,6,10000,Yes,Onsite,Rural,Data Scientist,"Machine Learning, C++, Project Management, SQL, HTML/CSS",16-10-25,BSc
Anchoring & Voice Over,Aviz Healthcare,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Data Analyst,"Digital Marketing, Python, Communication",04-11-25,BCA
Recruitment,Datacultr,Gurgaon,Immediately,6,12000,Yes,Onsite,Rural,HR,"Digital Marketing, Data Analysis, Excel, Machine Learning",27-11-25,BTech
Content Writing,Avaari,Work From Home,Immediately,6,12000,Yes,Remote,Urban,Data Scientist,"Communication, Project Management, Machine Learning, SQL",04-12-25,BCA
Business Development,MnA Studios,Work From Home,Immediately,6,2000,No,Onsite,Urban,Design,"HTML/CSS, Python, Data Analysis, Communication",16-11-25,MCA
Multimedia Design,VR AR MR,Work From Home,Immediately,6,5000,No,Onsite,Urban,Marketing,"Communication, Project Management, Excel",04-11-25,BTech
Fundraising,Dhatri Patra Foundation,Bangalore,Immediately,6,1000,No,Hybrid,Rural,Design,"Digital Marketing, Java, Communication, Project Management, Excel",15-10-25,PhD
C# -DotNetCore Web Development,Troywings Technologies,Work From Home,Not specified,6,1500,Yes,Onsite,Rural,Software Development,"Excel, Communication, Project Management, C++, SQL",25-11-25,BSc
Robot Operating System Development (ROS2),Astraser Trading & Services Private Limited,Work From Home,Immediately,6,7000,Yes,Remote,Urban,Data Analyst,"Project Management, Excel, Communication",10-10-25,BTech
Social Media Marketing,Puneet Sajjan,Delhi,Immediately,6,7000,Yes,Hybrid,Rural,Design,"Excel, Digital Marketing, Project Management",26-09-25,MBA
Video Editing,Webgeosoln,Work From Home,Immediately,5,6000,Yes,Hybrid,Rural,HR,"Communication, Machine Learning, Java",20-09-25,MTech
WordPress Development,Strategized Consulting,Work From Home,Immediately,5,2000,Yes,Hybrid,Rural,Research,"Excel, HTML/CSS, Digital Marketing, Data Analysis",25-10-25,MBA
Content Writing,Anjesh Find Nearbest Professionals LLP,Delhi,Immediately,5,5000,Yes,Remote,Rural,HR,"Machine Learning, Project Management, HTML/CSS",17-11-25,BCA
Social Media Strategist,Ekavira,Noida,Immediately,5,3000,Yes,Remote,Urban,Design,"Data Analysis, HTML/CSS, Java",24-09-25,MTech
Machine Learning,Avaari,Work From Home,Immediately,5,15000,No,Hybrid,Urban,HR,"C++, Data Analysis, HTML/CSS, Java",08-10-25,BTech
Product Management,Avaari,Work From Home,Immediately,5,15000,No,Remote,Rural,Data Analyst,"Java, Digital Marketing, Data Analysis",23-10-25,MCA
Business Development (Sales),Xammer,Work From Home,Immediately,5,1000,No,Hybrid,Rural,Data Scientist,"SQL, Machine Learning, Java",05-11-25,BCA
Human Resources (HR),Maxima Boilers Private Limited,Work From Home,Immediately,5,1000,Yes,Remote,Rural,Marketing,"Machine Learning, Data Analysis, SQL, Excel, C++",11-11-25,MCA
Graphic Design,Skylark Overseas Education,Work From Home,Immediately,5,5000,No,Remote,Urban,Marketing,"Java, Project Management, Excel, Data Analysis",30-10-25,PhD
Operations,Avaari,Work From Home,Immediately,5,10000,No,Hybrid,Rural,Design,"Python, C++, Digital Marketing, HTML/CSS, Data Analysis",30-09-25,BSc
Digital Marketing,Easy Admissions,Bangalore,Immediately,5,3000,No,Hybrid,Urban,Software Development,"Digital Marketing, Java, Machine Learning, Project Management",02-12-25,PhD
YouTube Vlogging,Avaari,Jaipur,Immediately,5,10000,No,Hybrid,Rural,Research,"Data Analysis, SQL, Project Management",13-09-25,MCA
Human Resources (HR),MKU Limited,Kanpur Dehat,Immediately,5,7000,No,Onsite,Urban,Data Scientist,"Machine Learning, Data Analysis, Project Management",16-10-25,BSc
Blockchain Development,Avaari,Work From Home,Immediately,5,18000,No,Onsite,Rural,Data Scientist,"SQL, Communication, C++, Data Analysis",25-09-25,BCA
Lead Generation,Eyem Tech,Pune,Immediately,5,2000,No,Onsite,Urban,Data Scientist,"C++, Java, SQL, Project Management",14-09-25,BSc
Blockchain Development,Shubh International,Work From Home,Immediately,5,10000,Yes,Remote,Urban,Research,"Machine Learning, Excel, Java, Data Analysis, Python",14-10-25,BCA
YouTube Vlogging,Shubh International,Work From Home,Immediately,5,12000,No,Onsite,Urban,Marketing,"Excel, Project Management, Data Analysis, Machine Learning, HTML/CSS",11-10-25,BTech
Human Resources (HR),Shubh International,Work From Home,Immediately,5,10000,Yes,Onsite,Rural,Design,"C++, Python, SQL, Digital Marketing, Communication",03-10-25,BSc
Machine Learning,Shubh International,Work From Home,Immediately,5,14000,Yes,Hybrid,Urban,Finance,"Digital Marketing, Data Analysis, Excel, SQL",02-10-25,MCA
Digital Marketing,Top Talent Bridge,Work From Home,Immediately,5,5000,No,Hybrid,Urban,HR,"Excel, Python, C++, HTML/CSS",29-09-25,BTech
Finance,Shubh International,Work From Home,Immediately,5,12000,Yes,Hybrid,Rural,Data Scientist,"Project Management, Machine Learning, Python, SQL, HTML/CSS",21-09-25,MBA
Social Media Marketing,Minus Equals Plus,Work From Home,Immediately,5,10000,No,Remote,Rural,Data Analyst,"Python, Digital Marketing, Java",13-09-25,BTech
Video Editing,Minto Edu,Work From Home,Immediately,5,2400,Yes,Remote,Urban,Data Analyst,"Communication, Java, Data Analysis, Excel, SQL",21-09-25,BTech
Resume Writing,Top Talent Bridge,Work From Home,Immediately,5,5000,Yes,Remote,Rural,Data Analyst,"Communication, Project Management, SQL",17-11-25,PhD
Event Management,Shubh International,Bangalore,Immediately,5,9000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SQL, Excel, Data Analysis, HTML/CSS",15-10-25,MCA
Graphic Design,Shubh International,Work From Home,Immediately,5,8000,Yes,Remote,Rural,HR,"Data Analysis, Excel, SQL",04-11-25,MTech
Data Entry,Shubh International,Work From Home,Immediately,5,8000,No,Remote,Urban,Data Analyst,"Communication, Project Management, Data Analysis, C++",26-09-25,MCA
Reel Creation (from East India),Top Talent Bridge,Work From Home,Immediately,5,5000,No,Onsite,Rural,Research,"HTML/CSS, Excel, Project Management",16-11-25,MBA
Social Media Marketing,Shubh International,Work From Home,Immediately,5,12000,Yes,Hybrid,Urban,HR,"Excel, Java, Machine Learning",06-11-25,MTech
Reel Creation (from West India),Top Talent Bridge,Work From Home,Immediately,5,5000,Yes,Hybrid,Urban,HR,"Project Management, Python, Digital Marketing, Communication",17-10-25,MTech
Chartered Accountancy (CA),Shubh International,Work From Home,Immediately,5,12000,No,Onsite,Urban,HR,"Project Management, Data Analysis, Excel",15-09-25,BCA
Electrical Engineering,Shubh International,Work From Home,Immediately,5,12000,No,Remote,Rural,HR,"Python, Communication, Data Analysis",25-10-25,BSc
Operations,Shubh International,Work From Home,Immediately,5,10000,Yes,Onsite,Rural,Data Analyst,"HTML/CSS, Machine Learning, Data Analysis, Excel, Communication",25-10-25,MTech
Content Writing,Shubh International,Work From Home,Immediately,5,12000,Yes,Hybrid,Urban,Design,"Python, SQL, Data Analysis, Java, Communication",05-10-25,MBA
UI/UX Design,Shubh International,Work From Home,Immediately,5,15000,Yes,Remote,Urban,Marketing,"HTML/CSS, Python, Data Analysis, Project Management",18-09-25,MCA
Web Development,Shubh International,Work From Home,Immediately,5,6000,No,Onsite,Rural,Finance,"Machine Learning, Communication, Data Analysis, Java, HTML/CSS",24-09-25,BTech
Artificial Intelligence (AI),Shubh International,Work From Home,Immediately,5,8000,No,Hybrid,Urban,Research,"C++, Excel, Data Analysis, Java, Python",01-12-25,BTech
Digital Marketing,Shubh International,Gandhidham Sub-District,Immediately,5,10000,Yes,Onsite,Rural,HR,"Python, Data Analysis, Machine Learning, Excel, C++",19-09-25,BCA
Web Development,Tour Passion,Work From Home,Immediately,5,10000,Yes,Remote,Urban,Finance,"Digital Marketing, Communication, Python, Project Management, SQL",02-11-25,MCA
Client Service And Sales,WhataPortrait.com,Work From Home,Immediately,5,8000,Yes,Hybrid,Urban,Finance,"Digital Marketing, Machine Learning, C++",21-11-25,BSc
Node.js Development,Faclon,Work From Home,Immediately,3,10000,No,Remote,Urban,Marketing,"Excel, Python, HTML/CSS",13-09-25,BTech
Web Development,Tour Passion,Delhi,Immediately,3,10000,No,Onsite,Rural,Data Scientist,"SQL, Machine Learning, HTML/CSS",22-11-25,MBA
Social Media Marketing,BlackPapers Sarthies (P) Limited,Work From Home,Immediately,3,3000,Yes,Onsite,Urban,Software Development,"HTML/CSS, Python, Excel, SQL, C++",09-11-25,PhD
Online Marketing,Nalini Fresh,Cuttack,Immediately,3,3000,No,Onsite,Urban,Design,"HTML/CSS, Project Management, SQL, Excel, Machine Learning",16-10-25,BSc
WordPress (Elementor) & Shopify Web Development,Minus Equals Plus,Work From Home,Immediately,3,3000,Yes,Onsite,Rural,Data Scientist,"Java, C++, Communication, Excel, SQL",04-10-25,BSc
Graphic Design,Incubr Tech Private Limited,Work From Home,Immediately,3,10000,No,Onsite,Rural,Design,"Project Management, Machine Learning, Data Analysis, SQL, Excel",01-10-25,BSc
"Face Recognition System, Computer Vision, & AI",Robolens.ai,Work From Home,Immediately,3,5000,Yes,Remote,Rural,Design,"Python, C++, Communication",19-11-25,BTech
Operations (Field Role),Reacho,Hyderabad,Immediately,3,10000,Yes,Onsite,Rural,Data Analyst,"SQL, C++, Project Management",19-09-25,PhD
Company Secretary (CS),The School Of Discovery,Bangalore,Immediately,3,7500,Yes,Remote,Rural,Data Scientist,"Excel, Communication, Project Management, Machine Learning, Python",25-09-25,MCA
Program Coordinator,Smart Learningz,Hyderabad,Immediately,3,15000,Yes,Onsite,Rural,Marketing,"Excel, Java, Machine Learning",04-11-25,MTech
Web Development (Python/Django),Go Digital Technology Consulting,Mumbai,Immediately,3,15000,No,Onsite,Rural,Data Analyst,"Digital Marketing, Data Analysis, HTML/CSS, Java",26-11-25,MCA
Manual Data Entry And Analysis,Smollan India Private Limited,Work From Home,Immediately,3,5000,Yes,Remote,Urban,Data Scientist,"Project Management, Machine Learning, SQL",22-11-25,PhD
Web Development,SaffireTech,Mumbai,Immediately,3,12500,Yes,Onsite,Urban,Software Development,"HTML/CSS, Machine Learning, Digital Marketing, Python, SQL",17-10-25,BSc
Video Editing,Soumen Mondal,Work From Home,Immediately,3,1000,Yes,Hybrid,Rural,Data Scientist,"Project Management, Communication, Java, Data Analysis, SQL",12-10-25,PhD
Business Development (Sales),TRIUNITY ENGINEERING COMPANY,Work From Home,Immediately,3,2500,No,Remote,Urban,HR,"Excel, C++, Machine Learning, Data Analysis",08-10-25,PhD
Graphic Design,OM ENTERPRISES,Visakhapatnam,Immediately,3,4000,No,Hybrid,Urban,Marketing,"Data Analysis, Java, HTML/CSS, Machine Learning",04-12-25,BSc
Graphic Design,The Organic Label,Work From Home,Immediately,3,5000,Yes,Remote,Rural,HR,"Python, Digital Marketing, SQL, Excel",13-09-25,MBA
Content Writing,PickRetreat,Work From Home,Immediately,3,2000,No,Remote,Urban,Finance,"HTML/CSS, Java, SQL",11-09-25,BSc
iOS App Development,Konnxt Private Limited,Work From Home,Immediately,3,5000,Yes,Hybrid,Urban,Marketing,"Data Analysis, C++, Communication, Project Management",01-11-25,MBA
Assistant To The Founder,Beybey Farms,Bhopal,Immediately,3,3000,No,Onsite,Urban,Software Development,"Digital Marketing, Excel, Communication",14-11-25,PhD
Telecalling & Sales Coordination (Fintech Lending),Quickfinshop Enterprises,Mumbai,Immediately,3,15000,Yes,Remote,Rural,Data Scientist,"Python, Communication, Data Analysis, HTML/CSS, C++",03-11-25,BTech
Graphic Designer,URTEQi,Ahmedabad,Immediately,3,8000,No,Onsite,Rural,Research,"Machine Learning, Excel, Communication",27-10-25,MCA
Content Writing,ITvisitors Consulting,Work From Home,Immediately,3,2000,No,Hybrid,Rural,Finance,"Communication, Excel, Project Management, Data Analysis",04-11-25,MTech
Node.js Development,NextGen Techno Ventures Private Limited,Mumbai,Immediately,3,7000,No,Remote,Rural,HR,"Machine Learning, Python, C++, Project Management",23-09-25,BTech
Laravel Development,NextGen Techno Ventures Private Limited,Mumbai,Immediately,3,5000,No,Hybrid,Urban,Data Analyst,"Digital Marketing, HTML/CSS, C++",22-11-25,PhD
WordPress Development,Dakoo - The Super App,Work From Home,Immediately,3,8000,Yes,Remote,Rural,Research,"Excel, Project Management, Python, Data Analysis, Machine Learning",18-09-25,BCA
Telecalling & Business Development (US),Sales Brigade,Work From Home,Immediately,3,10000,No,Onsite,Rural,Marketing,"Communication, Project Management, C++",28-09-25,BSc
Email Marketing,GEMA Education Technology Private Limited,Work From Home,Immediately,3,1000,No,Remote,Rural,Research,"Excel, Digital Marketing, Communication, Machine Learning",03-10-25,MTech
Social Media Marketing,IMBUZI,Work From Home,Immediately,3,3000,Yes,Remote,Urban,Finance,"C++, Python, Project Management, SQL",03-11-25,PhD
Business Development (B2B Sales),"Innovative Investing Group, Inc.",Work From Home,Immediately,3,8000,Yes,Hybrid,Urban,Data Scientist,"Python, SQL, Excel, Java",14-11-25,BCA
Influencer Marketing,Recitstudios,Work From Home,Immediately,3,4000,Yes,Hybrid,Rural,Software Development,"SQL, Project Management, Excel",06-10-25,MBA
Social Media Brand Ambassador,Team Hash Foundation,Work From Home,Immediately,3,5000,Yes,Hybrid,Rural,Software Development,"C++, Machine Learning, SQL, Project Management",14-11-25,BCA
Content Writing,Ayexible,Noida,Immediately,3,6000,Yes,Onsite,Urban,Design,"Python, C++, SQL, Java, Data Analysis",02-10-25,BSc
Short Form Video Editing For Instagram Reels,Tanishq Harjani,Work From Home,Immediately,3,15000,Yes,Onsite,Urban,Marketing,"Excel, Communication, Data Analysis, Project Management",24-10-25,MCA
Learning Operations Maverick,Harbinger | The People Company,Navi Mumbai,Immediately,3,15000,Yes,Remote,Urban,Marketing,"Communication, Data Analysis, Java",20-10-25,MCA
Social Media Marketing,Lusso Celebrazione Private Limited,Delhi,Immediately,3,10000,Yes,Hybrid,Rural,Software Development,"Java, Data Analysis, Machine Learning, C++, Digital Marketing",17-11-25,MTech
Android App Development,Cyberensis Infosec,Work From Home,Immediately,3,1000,No,Onsite,Rural,HR,"C++, Machine Learning, Excel",26-10-25,BSc
Copywriting,Ignitic Ideas Private Limited,Thane,Immediately,3,5000,Yes,Onsite,Urban,Software Development,"Excel, Python, Project Management, HTML/CSS, Machine Learning",16-09-25,MCA
E-commerce Operations,Wherehouse.io,Gurgaon,Immediately,3,15000,Yes,Hybrid,Rural,Marketing,"Java, Python, Digital Marketing, Communication",31-10-25,BCA
Social Media Marketing,Stracts,Work From Home,Immediately,3,1000,No,Onsite,Urban,Finance,"Communication, C++, SQL, Project Management, Machine Learning",26-10-25,PhD
Digital Marketing,Afsha Parmar,Work From Home,Immediately,3,2000,No,Hybrid,Rural,Design,"C++, Communication, Data Analysis",20-10-25,BCA
React-Native Development,Fastlance,Work From Home,Immediately,3,4000,No,Hybrid,Urban,Software Development,"Data Analysis, C++, Digital Marketing, Communication, SQL",23-10-25,MCA
Graphic Design,Mosambi Media,Pune,Immediately,3,5500,Yes,Onsite,Rural,HR,"Communication, C++, Python, Digital Marketing, Project Management",15-09-25,BTech
Content Writing,Rankingbite LLP,Work From Home,Immediately,3,8000,No,Hybrid,Rural,Data Analyst,"C++, Communication, Excel, Project Management",26-10-25,BSc
Digital Marketing,Light Verse Private Limited,Work From Home,Immediately,3,5000,No,Onsite,Rural,Marketing,"Excel, Machine Learning, Data Analysis, SQL, Python",19-11-25,MCA
Content Creation & Social Media Marketing (A Pet Care Brand),Gocattles,Delhi,Immediately,3,10000,Yes,Hybrid,Rural,Data Scientist,"Data Analysis, SQL, HTML/CSS, Digital Marketing, Java",17-10-25,MBA
Fashion Design,LumiÃ©re,Work From Home,Immediately,3,10000,No,Onsite,Rural,Marketing,"Data Analysis, Digital Marketing, HTML/CSS, Project Management",05-12-25,MTech
Full Stack Development,Psymate,Bhopal,Immediately,3,3000,No,Onsite,Rural,Data Analyst,"Data Analysis, Project Management, Excel",12-10-25,MCA
Data Engineering,Go Digital Technology Consulting,Mumbai,Immediately,3,15000,Yes,Remote,Urban,Data Scientist,"Java, Digital Marketing, Data Analysis, Excel",12-09-25,PhD
Financial And Advertising,ADSMIT MEDIA,Work From Home,Immediately,3,4750,Yes,Onsite,Urban,Research,"HTML/CSS, Java, SQL, Communication",09-11-25,MCA
Video/Audio Editing,NXTTOUR INDIA,Work From Home,Immediately,3,2000,Yes,Hybrid,Urban,Research,"Communication, Machine Learning, Java, Data Analysis",14-10-25,PhD
Social Media Marketing,Nareeism,Greater Noida,Immediately,3,2000,No,Remote,Urban,Research,"Python, SQL, C++, Machine Learning",16-09-25,BTech
Volunteering,The Thread Foundation,Work From Home,Immediately,3,Unpaid,Yes,Hybrid,Rural,HR,"Machine Learning, Digital Marketing, Project Management, Excel",04-11-25,BTech
Campus Ambassador,Sling,Work From Home,Immediately,3,Performance Based,Yes,Hybrid,Urban,Marketing,"Project Management, Communication, Java",17-09-25,MBA
Business Development (Sales),GoldMark Realty,Pune,Immediately,3,5000,No,Remote,Urban,Finance,"Python, Communication, Machine Learning, Data Analysis",29-10-25,BSc
Content Marketing,Nova,Work From Home,Immediately,3,2000,No,Remote,Urban,HR,"Excel, Project Management, Data Analysis, SQL",26-10-25,MCA
Social Sector Marketing,Pawzz,Work From Home,Immediately,3,1500,No,Remote,Rural,Software Development,"SQL, Machine Learning, Java, Python, C++",06-10-25,BCA
Social Cause,Pawzz,Work From Home,Immediately,3,1500,Yes,Hybrid,Urban,Data Scientist,"HTML/CSS, Data Analysis, C++, Communication",26-10-25,MBA
Operations (TorchBearer),HappiMynd,Work From Home,Immediately,3,1000,No,Onsite,Rural,Data Scientist,"Machine Learning, C++, Java, Digital Marketing",30-11-25,PhD
Community Management,HappiMynd,Work From Home,Immediately,3,1000,Yes,Onsite,Urban,Finance,"SQL, Digital Marketing, C++",18-09-25,MTech
Project Management (Sales And Marketing),HappiMynd,Work From Home,Immediately,3,10000,Yes,Onsite,Rural,Data Scientist,"Machine Learning, Data Analysis, Python, SQL, Excel",15-11-25,BCA
Digital Marketing,Webiniser LTD,Work From Home,Immediately,3,6000,Yes,Remote,Rural,Software Development,"Excel, SQL, Project Management",18-10-25,BCA
Social Entrepreneurship,HappiMynd,Work From Home,Immediately,3,1000,No,Onsite,Urban,Research,"Excel, Project Management, C++, Data Analysis",17-09-25,PhD
Investment Analysis (Capital Market),B B Advisory,Work From Home,Immediately,3,2000,No,Onsite,Urban,Marketing,"Python, Communication, Data Analysis, Digital Marketing",26-11-25,BSc
WordPress Development,Webiniser LTD,Work From Home,Immediately,3,5000,No,Hybrid,Rural,Data Analyst,"Python, HTML/CSS, Communication, Excel",12-10-25,MTech
MERN Stack Development,Think Of It Foundation,Work From Home,Immediately,3,Unpaid,Yes,Remote,Urban,Data Scientist,"Digital Marketing, Data Analysis, Communication, Excel, SQL",30-11-25,BSc
Python Development,Think Of It Foundation,Work From Home,Immediately,3,Unpaid,No,Remote,Urban,Marketing,"Communication, Digital Marketing, HTML/CSS",10-09-25,MCA
Marketing,STTUDIIODEK,Delhi,Immediately,3,6000,Yes,Remote,Urban,Marketing,"HTML/CSS, Excel, Java, Project Management, SQL",29-10-25,BSc
Affiliate Marketing,Z-Culture,Work From Home,Immediately,3,10000,Yes,Remote,Rural,Data Analyst,"Excel, Data Analysis, C++, SQL, Java",26-11-25,PhD
Human Resources (HR),Pawzz,Work From Home,Immediately,3,6000,Yes,Remote,Rural,Design,"Digital Marketing, SQL, Excel",28-11-25,BTech
Business Analyst (Technical),Think Of It Foundation,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Urban,Marketing,"Project Management, Machine Learning, Digital Marketing, C++, Excel",20-11-25,BTech
Business Analyst (Marketing),Think Of It Foundation,Work From Home,Immediately,3,Unpaid,Yes,Hybrid,Rural,Data Scientist,"HTML/CSS, Communication, Machine Learning, Digital Marketing, Python",29-10-25,BCA
Influencer Marketing,HappiMynd,Work From Home,Immediately,3,1000,No,Hybrid,Urban,Research,"HTML/CSS, Project Management, C++, Digital Marketing",26-09-25,MCA
Human Resources (HR),B B Advisory,Bangalore,Immediately,3,5000,No,Onsite,Rural,Finance,"HTML/CSS, Java, Excel",18-10-25,MBA
Human Resources (HR),Earth5R,Mumbai,Immediately,3,8000,Yes,Onsite,Urban,Marketing,"Project Management, C++, Excel",25-11-25,MBA
Foreign Exchange Market,B B Advisory,Work From Home,Immediately,3,2000,No,Hybrid,Urban,Research,"Excel, SQL, C++",13-11-25,BSc
C++ Development,WiJungle - by HttpCart,Gurgaon,Immediately,3,30000,No,Remote,Urban,Software Development,"HTML/CSS, C++, Excel, Project Management, Machine Learning",06-11-25,MCA
Graphic Design,Harmonivity,Work From Home,Immediately,3,5000,No,Hybrid,Rural,Design,"Machine Learning, SQL, C++",03-11-25,MTech
Talent Acquisition,Hiringz,Work From Home,Immediately,3,1500,No,Remote,Urban,Marketing,"Communication, Java, SQL, Project Management",14-09-25,BSc
Sales Coordination,Colombier Lab Private Limited,Kochi,Immediately,3,8000,Yes,Remote,Urban,Marketing,"Machine Learning, Digital Marketing, Java, SQL",22-10-25,PhD
Android App Development,Feedbackà¤¦à¥‹ India,Gandhinagar,Immediately,2,3000,Yes,Hybrid,Urban,Software Development,"Excel, Communication, Java, Machine Learning, Python",24-10-25,MTech
Digital Marketing,Edvago Infinity Learn,Work From Home,Immediately,2,5000,No,Onsite,Rural,Marketing,"SQL, Project Management, Communication",25-11-25,PhD
Graphic Design,Web 3 Wellness,Zirakpur,Immediately,2,20000,No,Remote,Urban,Software Development,"HTML/CSS, Python, Project Management, C++, SQL",15-10-25,MTech
Business Development (Sales),Stinfi.in (Stinfi Private Limited),Vadodara,Immediately,2,3500,No,Hybrid,Rural,Marketing,"C++, Excel, Communication, Project Management",23-10-25,BTech
Social Media Marketing,THE SNUG STITCH,Mumbai,Immediately,2,9000,Yes,Hybrid,Urban,HR,"Project Management, HTML/CSS, Java, Python",26-11-25,BCA
E-commerce Operations,Koverify,Mumbai,Immediately,2,10000,No,Remote,Rural,HR,"SQL, Data Analysis, Java, Python, Excel",15-09-25,MBA
Human Resources (HR),Solution Graph,Work From Home,Immediately,2,2000,No,Hybrid,Rural,Finance,"Java, C++, Digital Marketing",12-10-25,MBA
Doubt Solving (Chemistry),LearnAsYouGo Private Limited,Work From Home,Immediately,2,6000,No,Remote,Rural,Research,"Machine Learning, C++, HTML/CSS, Java",23-09-25,MTech
Subject Matter Expert (SME),LearnAsYouGo Private Limited,Work From Home,Immediately,2,6000,Yes,Remote,Urban,Data Analyst,"Project Management, Java, HTML/CSS",16-09-25,MCA
Video Making/Editing,Bettr My Health,Work From Home,Immediately,2,10000,Yes,Onsite,Rural,HR,"Java, Digital Marketing, Python, C++",23-11-25,BTech
Finance,Build Your English,Work From Home,Immediately,2,5000,No,Onsite,Urban,Data Scientist,"Machine Learning, Java, Data Analysis",13-11-25,PhD
AI Fullstack Developer,Yardstick,Work From Home,Immediately,2,10000,No,Onsite,Rural,HR,"Project Management, HTML/CSS, Python, Java, Communication",01-10-25,BSc
Equity Research Analysis,Trading Shalaa,Work From Home,Immediately,2,3000,No,Hybrid,Rural,Marketing,"HTML/CSS, Communication, Data Analysis, Digital Marketing",11-11-25,PhD
Commodities Exchange,Trading Shalaa,Work From Home,Immediately,2,3000,Yes,Onsite,Rural,Research,"HTML/CSS, Data Analysis, Java, C++, Excel",27-10-25,MCA
Event Management,3HD Media,Mumbai,Immediately,2,10000,Yes,Remote,Rural,Finance,"Digital Marketing, Data Analysis, SQL, HTML/CSS, Java",28-09-25,BCA
Financial Market,Trading Shalaa,Work From Home,Immediately,2,3000,Yes,Hybrid,Urban,Data Scientist,"Communication, Data Analysis, Python",04-12-25,MBA
Content Writing (WWE),"Zion Media (Dhaka, Bangladesh)",Work From Home,Immediately,2,6500,Yes,Remote,Urban,Software Development,"Digital Marketing, Data Analysis, Excel, SQL, Python",23-10-25,BSc
Actress (For Social Media Post Creation),AgentInsights,Delhi,Immediately,2,8000,Yes,Remote,Rural,Finance,"Python, Machine Learning, Java, Communication, Data Analysis",11-10-25,MTech
Human Resources (HR),Yardstick,Work From Home,Immediately,2,5000,Yes,Hybrid,Urban,Marketing,"Java, Machine Learning, Communication, Python",10-09-25,BCA
Social Media Marketing,The News Insight,Work From Home,Immediately,2,5000,Yes,Remote,Rural,Data Analyst,"Communication, Java, SQL",12-09-25,BTech
Digital Marketing,Misui India,Work From Home,Immediately,2,5000,Yes,Remote,Urban,Research,"Excel, C++, Digital Marketing",28-11-25,BCA
Graphic Design,ZAP Cricket,Work From Home,Immediately,2,7000,No,Onsite,Urban,Finance,"C++, Python, Communication, Excel",21-10-25,PhD
